epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
38,1537.36,0.98744,0.84896,1.27007,0.90704,0.82022,0.89158,0.62495,1.19619,1.08374,1.40426,0.0002674,0.0002674,0.0002674
39,1579.86,0.9588,0.78195,1.2457,0.89304,0.83595,0.89293,0.63985,1.13095,1.22045,1.32416,0.0002476,0.0002476,0.0002476
40,1625.2,0.96298,0.79202,1.24972,0.88016,0.84048,0.8869,0.61718,1.20114,1.0969,1.42124,0.0002278,0.0002278,0.0002278
41,1688.1,0.84001,0.4987,1.19045,0.90835,0.82066,0.8815,0.60462,1.228,1.27882,1.41468,0.000208,0.000208,0.000208
42,1732.38,0.824,0.47468,1.16721,0.90345,0.8181,0.86459,0.60894,1.11627,1.2285,1.33733,0.0001882,0.0001882,0.0001882
43,1774.44,0.79806,0.46131,1.15721,0.90987,0.84109,0.89326,0.63129,1.11888,1.2669,1.30182,0.0001684,0.0001684,0.0001684
44,1813.81,0.79002,0.45294,1.15109,0.89992,0.82831,0.89838,0.63177,1.14122,1.17156,1.31657,0.0001486,0.0001486,0.0001486
45,1852.5,0.7778,0.43372,1.13845,0.90388,0.83999,0.88679,0.63394,1.09521,1.13948,1.28688,0.0001288,0.0001288,0.0001288
46,1892.22,0.75052,0.42773,1.11119,0.88849,0.86186,0.88873,0.63412,1.09755,1.17341,1.29743,0.000109,0.000109,0.000109
47,1935.27,0.74648,0.41643,1.11778,0.88518,0.84852,0.88956,0.62973,1.10131,1.17951,1.30203,8.92e-05,8.92e-05,8.92e-05
48,1975.66,0.74503,0.41041,1.11361,0.89901,0.83588,0.89976,0.64062,1.09106,1.13674,1.29476,6.94e-05,6.94e-05,6.94e-05
49,2015.17,0.72236,0.39762,1.10248,0.9184,0.82896,0.90093,0.64535,1.0874,1.18011,1.29443,4.96e-05,4.96e-05,4.96e-05
50,2052.05,0.70549,0.39124,1.09247,0.91063,0.83713,0.89536,0.64521,1.07258,1.15415,1.29473,2.98e-05,2.98e-05,2.98e-05
