epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.5142,1.68619,2.78486,1.86368,0.45374,0.4339,0.38955,0.14743,1.96103,2.6213,1.96555,0.0670873,0.000332451,0.000332451
2,73.8469,1.59745,2.18546,1.77374,0.52213,0.43958,0.49935,0.24405,1.723,2.25223,1.74367,0.0340741,0.000652602,0.000652602
3,106.943,1.53688,2.06967,1.70472,0.56464,0.46338,0.49624,0.23727,1.72829,2.88638,1.85374,0.00104774,0.000959553,0.000959553
4,146.19,1.52392,1.90405,1.69499,0.47881,0.57026,0.54624,0.29197,1.65633,3.51745,1.71052,0.0009406,0.0009406,0.0009406
5,182.634,1.46145,1.77767,1.6384,0.61857,0.57727,0.58495,0.3151,1.56547,2.84082,1.70854,0.0009208,0.0009208,0.0009208
6,226.807,1.43685,1.7236,1.63177,0.67212,0.62409,0.65762,0.34469,1.60192,2.31533,1.62823,0.000901,0.000901,0.000901
7,266.275,1.39832,1.63798,1.58604,0.74811,0.71588,0.76954,0.4336,1.56172,1.75148,1.62781,0.0008812,0.0008812,0.0008812
8,305.532,1.38069,1.56625,1.57474,0.74044,0.68372,0.75595,0.3962,1.63505,1.8002,1.64956,0.0008614,0.0008614,0.0008614
9,344.771,1.34839,1.50679,1.54945,0.83268,0.65768,0.76455,0.42463,1.60382,1.63232,1.62476,0.0008416,0.0008416,0.0008416
10,383.295,1.333,1.47385,1.54697,0.69441,0.67451,0.71754,0.41223,1.48046,2.58641,1.55164,0.0008218,0.0008218,0.0008218
11,426.636,1.31062,1.42049,1.51342,0.83924,0.73172,0.80365,0.46773,1.47291,1.42965,1.53096,0.000802,0.000802,0.000802
12,472.31,1.30001,1.33531,1.4966,0.76827,0.74476,0.79678,0.4679,1.50251,1.39371,1.59599,0.0007822,0.0007822,0.0007822
13,514.193,1.26716,1.31984,1.47525,0.86254,0.75303,0.83488,0.51731,1.34525,1.44183,1.44386,0.0007624,0.0007624,0.0007624
14,559.446,1.24597,1.30875,1.466,0.79785,0.73614,0.82692,0.51872,1.35277,1.76222,1.47009,0.0007426,0.0007426,0.0007426
15,600.996,1.23398,1.21472,1.45109,0.79542,0.77865,0.82715,0.52006,1.38839,1.34922,1.48851,0.0007228,0.0007228,0.0007228
16,640.944,1.25034,1.24877,1.4612,0.87827,0.72055,0.82158,0.47351,1.51585,1.41095,1.54316,0.000703,0.000703,0.000703
17,683.511,1.23247,1.2414,1.44601,0.85142,0.71014,0.82733,0.53412,1.2999,1.54608,1.42668,0.0006832,0.0006832,0.0006832
18,728.166,1.20334,1.17308,1.43324,0.83838,0.73466,0.82444,0.5156,1.34592,1.49512,1.49699,0.0006634,0.0006634,0.0006634
19,769.205,1.19318,1.17658,1.42157,0.83546,0.78678,0.84497,0.52021,1.33766,1.44178,1.4456,0.0006436,0.0006436,0.0006436
20,813.773,1.18155,1.12302,1.41075,0.89277,0.71791,0.85274,0.56361,1.27941,1.3624,1.43071,0.0006238,0.0006238,0.0006238
21,865.613,1.1563,1.09488,1.38221,0.81225,0.79004,0.8683,0.59189,1.17998,1.564,1.34468,0.000604,0.000604,0.000604
22,909.675,1.15172,1.06328,1.38016,0.89582,0.75926,0.85943,0.54985,1.29984,1.39926,1.39891,0.0005842,0.0005842,0.0005842
23,945.477,1.13665,1.05247,1.37441,0.88988,0.77884,0.87022,0.58415,1.2564,1.31813,1.37446,0.0005644,0.0005644,0.0005644
24,983.989,1.11969,1.03002,1.36115,0.89991,0.77982,0.87587,0.56735,1.32263,1.14217,1.43963,0.0005446,0.0005446,0.0005446
25,1023.46,1.12692,1.04958,1.36701,0.89096,0.77085,0.87452,0.5938,1.16381,1.38748,1.33661,0.0005248,0.0005248,0.0005248
26,1060.68,1.09858,1.01845,1.3549,0.88519,0.81735,0.88264,0.59811,1.27393,1.18538,1.44174,0.000505,0.000505,0.000505
27,1097.05,1.09717,0.99252,1.34745,0.87817,0.79853,0.87097,0.59447,1.25193,1.22089,1.43841,0.0004852,0.0004852,0.0004852
28,1133.56,1.07843,0.99081,1.3348,0.92218,0.78928,0.87854,0.59164,1.24246,1.41052,1.39281,0.0004654,0.0004654,0.0004654
29,1170.92,1.06681,0.97027,1.31949,0.87873,0.83173,0.89326,0.61461,1.22286,1.08233,1.41116,0.0004456,0.0004456,0.0004456
30,1207.05,1.06072,0.92548,1.3175,0.8931,0.81511,0.88102,0.59482,1.21912,1.31185,1.32809,0.0004258,0.0004258,0.0004258
31,1251.1,1.03444,0.89064,1.29824,0.89029,0.79913,0.88036,0.60554,1.2255,1.31794,1.40336,0.000406,0.000406,0.000406
32,1291.67,1.0439,0.91702,1.30258,0.8878,0.81847,0.89173,0.61065,1.17407,1.16822,1.31975,0.0003862,0.0003862,0.0003862
33,1331.1,1.03265,0.89676,1.29649,0.88581,0.85743,0.90609,0.61389,1.17036,1.15191,1.34025,0.0003664,0.0003664,0.0003664
34,1373.83,1.00425,0.86254,1.27925,0.87878,0.85204,0.88372,0.59878,1.18726,1.27487,1.33232,0.0003466,0.0003466,0.0003466
35,1414.46,1.01736,0.87255,1.28986,0.87795,0.82817,0.88253,0.61536,1.17702,1.17473,1.37483,0.0003268,0.0003268,0.0003268
36,1455.72,1.0047,0.84833,1.27804,0.92213,0.7967,0.89489,0.62677,1.13104,1.11124,1.33531,0.000307,0.000307,0.000307
37,1496.77,0.99062,0.82773,1.2645,0.86082,0.83486,0.8842,0.63167,1.09034,1.19097,1.27785,0.0002872,0.0002872,0.0002872
