epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.0675,1.61789,2.49142,1.867,0.31539,0.4682,0.4186,0.19292,1.84334,4.17984,1.76988,0.0670873,0.000332451,0.000332451
2,101.064,1.53751,1.87266,1.73419,0.59398,0.49787,0.51832,0.20858,1.95256,2.22047,1.94597,0.0340214,0.000599872,0.000599872
3,154.853,1.46225,1.61837,1.67223,0.62973,0.51498,0.55528,0.24776,1.93343,2.13963,1.87546,0.000889476,0.000801293,0.000801293
4,205.448,1.39357,1.42197,1.60651,0.7459,0.52671,0.65505,0.29516,1.83009,2.5993,1.78552,0.000703,0.000703,0.000703
5,238.966,1.30192,1.27806,1.51044,0.734,0.68464,0.75089,0.39632,1.65278,2.60574,1.60814,0.000604,0.000604,0.000604
6,270.613,1.25927,1.12535,1.4731,0.72295,0.70324,0.74931,0.38987,1.70894,1.73744,1.64808,0.000505,0.000505,0.000505
7,301.99,1.18496,1.02004,1.39368,0.84786,0.66205,0.79621,0.43112,1.63777,2.22309,1.56307,0.000406,0.000406,0.000406
8,333.687,1.12376,0.90843,1.35786,0.77109,0.76219,0.78178,0.42165,1.6298,2.85122,1.55966,0.000307,0.000307,0.000307
9,364.927,1.10009,0.83133,1.34038,0.8907,0.73526,0.82497,0.50421,1.42757,1.68412,1.41162,0.000208,0.000208,0.000208
10,396.286,1.02702,0.76682,1.28009,0.86411,0.78077,0.85956,0.56132,1.34336,1.54438,1.37543,0.000109,0.000109,0.000109
