epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.7188,1.41801,1.53454,1.50118,0.73611,0.67424,0.73612,0.42406,1.56931,1.77372,1.52379,0.0670873,0.000332451,0.000332451
2,94.797,1.41984,1.53475,1.52689,0.804,0.61866,0.70846,0.32575,1.88056,2.19604,1.78243,0.0340543,0.000632828,0.000632828
3,128.53,1.39524,1.5226,1.4986,0.71256,0.67639,0.70428,0.4211,1.49745,2.05345,1.52783,0.000988389,0.000900205,0.000900205
4,161.638,1.38025,1.48473,1.49266,0.81191,0.66572,0.73579,0.40848,1.60794,1.95516,1.56434,0.0008515,0.0008515,0.0008515
5,194.684,1.35652,1.41189,1.47191,0.75711,0.63752,0.71815,0.39037,1.57214,2.12704,1.56266,0.000802,0.000802,0.000802
6,227.278,1.33236,1.36108,1.45715,0.81614,0.72379,0.80827,0.44099,1.61565,2.11475,1.57663,0.0007525,0.0007525,0.0007525
7,259.89,1.2967,1.32917,1.43503,0.76127,0.74032,0.7889,0.43392,1.59835,1.90091,1.5713,0.000703,0.000703,0.000703
8,292.662,1.27412,1.25398,1.42775,0.83033,0.77157,0.81338,0.51213,1.32927,1.86639,1.38867,0.0006535,0.0006535,0.0006535
9,326.325,1.24482,1.22043,1.40604,0.83125,0.77129,0.81877,0.52419,1.35909,1.81079,1.44919,0.000604,0.000604,0.000604
10,365.256,1.21254,1.18695,1.37783,0.86665,0.75174,0.81846,0.47215,1.60673,1.76312,1.58927,0.0005545,0.0005545,0.0005545
11,429.897,1.06742,0.77398,1.31357,0.85862,0.71339,0.82742,0.49402,1.42556,1.68908,1.45312,0.000505,0.000505,0.000505
12,464.405,1.03057,0.72571,1.29517,0.84604,0.76292,0.84549,0.56976,1.20933,1.47871,1.32149,0.0004555,0.0004555,0.0004555
13,499.602,0.99922,0.6811,1.26985,0.85879,0.75769,0.844,0.54602,1.32343,1.39898,1.37801,0.000406,0.000406,0.000406
14,541.487,0.98765,0.64844,1.26653,0.86172,0.77736,0.86679,0.55077,1.41175,1.42504,1.43188,0.0003565,0.0003565,0.0003565
15,581.123,0.95551,0.61231,1.2443,0.90644,0.76922,0.86254,0.55929,1.38023,1.37954,1.42159,0.000307,0.000307,0.000307
16,622.439,0.93225,0.57653,1.2156,0.883,0.77833,0.86972,0.58653,1.26349,1.29292,1.347,0.0002575,0.0002575,0.0002575
17,658.835,0.88865,0.55061,1.19335,0.84371,0.79289,0.86082,0.56825,1.32516,1.35234,1.38585,0.000208,0.000208,0.000208
18,694.38,0.87804,0.53372,1.18294,0.87165,0.79778,0.87227,0.59938,1.244,1.2955,1.35863,0.0001585,0.0001585,0.0001585
19,729.015,0.86017,0.51424,1.16242,0.86359,0.79023,0.86721,0.60928,1.16893,1.27362,1.2947,0.000109,0.000109,0.000109
20,763.828,0.8354,0.49012,1.16103,0.86058,0.78989,0.86653,0.59594,1.2211,1.30915,1.31742,5.95e-05,5.95e-05,5.95e-05
