epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
13,540.831,1.1732,1.11478,1.38835,0.85721,0.80017,0.84734,0.55373,1.34022,1.41094,1.43601,0.0007624,0.0007624,0.0007624
14,576.39,1.15045,1.09631,1.37721,0.84292,0.77431,0.85109,0.55549,1.32012,1.52974,1.40581,0.0007426,0.0007426,0.0007426
15,611.813,1.13516,1.04138,1.36567,0.8459,0.77181,0.8589,0.58206,1.18605,1.25774,1.36529,0.0007228,0.0007228,0.0007228
16,647.412,1.1515,1.06117,1.37783,0.84338,0.80749,0.87155,0.56086,1.37656,1.23111,1.45746,0.000703,0.000703,0.000703
17,683.11,1.13994,1.05631,1.36326,0.91323,0.75891,0.8592,0.5803,1.33802,1.34127,1.43643,0.0006832,0.0006832,0.0006832
18,724.047,1.12065,1.00161,1.35232,0.86208,0.76678,0.85508,0.57579,1.22878,1.3475,1.42503,0.0006634,0.0006634,0.0006634
19,765.663,1.12359,1.02331,1.35329,0.81186,0.78478,0.85085,0.56055,1.33049,1.29176,1.43665,0.0006436,0.0006436,0.0006436
20,803.083,1.10998,0.9871,1.35157,0.88075,0.79818,0.86931,0.59274,1.25396,1.14724,1.42055,0.0006238,0.0006238,0.0006238
21,840.104,1.08024,0.97537,1.32454,0.901,0.79252,0.87124,0.58686,1.23058,1.45377,1.35763,0.000604,0.000604,0.000604
22,879.885,1.06933,0.9494,1.31151,0.89324,0.80652,0.86499,0.58719,1.23647,1.45998,1.37561,0.0005842,0.0005842,0.0005842
23,922.215,1.07632,0.93474,1.31967,0.89157,0.8274,0.88395,0.60166,1.24522,1.11996,1.33356,0.0005644,0.0005644,0.0005644
24,962.298,1.04422,0.91214,1.29773,0.87859,0.79853,0.87121,0.58767,1.26191,1.32864,1.39999,0.0005446,0.0005446,0.0005446
25,1006,1.07143,0.94855,1.31354,0.85756,0.79005,0.85342,0.57954,1.20488,1.17423,1.39517,0.0005248,0.0005248,0.0005248
26,1050.02,1.04057,0.92059,1.29826,0.86896,0.8334,0.88551,0.61058,1.21974,1.14734,1.39002,0.000505,0.000505,0.000505
27,1101.99,1.03608,0.87918,1.28839,0.89025,0.79068,0.86456,0.5961,1.25228,1.49212,1.45515,0.0004852,0.0004852,0.0004852
28,1156.91,1.01306,0.87323,1.27754,0.88492,0.82986,0.88732,0.60715,1.19991,1.14647,1.35382,0.0004654,0.0004654,0.0004654
29,1198.85,1.01474,0.88404,1.27025,0.88008,0.81383,0.86133,0.57966,1.24967,1.27006,1.35179,0.0004456,0.0004456,0.0004456
30,1243.13,1.02451,0.86199,1.28079,0.85033,0.84873,0.89564,0.59757,1.26019,1.12085,1.35245,0.0004258,0.0004258,0.0004258
31,1288.47,0.98393,0.79901,1.25512,0.8587,0.81847,0.87406,0.60129,1.23892,1.14956,1.40063,0.000406,0.000406,0.000406
32,1335.01,0.98554,0.84146,1.25996,0.87245,0.84004,0.88035,0.61702,1.19669,1.25994,1.33675,0.0003862,0.0003862,0.0003862
33,1376.26,0.98052,0.81892,1.25707,0.90557,0.79782,0.8835,0.63657,1.19241,1.1429,1.38771,0.0003664,0.0003664,0.0003664
34,1418.07,0.95371,0.78081,1.23775,0.89069,0.85031,0.90476,0.63016,1.21545,1.04069,1.35529,0.0003466,0.0003466,0.0003466
35,1466.42,0.96765,0.79325,1.24436,0.89884,0.80877,0.86249,0.61781,1.17412,1.18385,1.36977,0.0003268,0.0003268,0.0003268
36,1513.28,0.95144,0.78368,1.24022,0.8937,0.82515,0.88885,0.63708,1.17236,1.16316,1.38316,0.000307,0.000307,0.000307
37,1555.36,0.9402,0.76547,1.22759,0.89205,0.83059,0.88641,0.6329,1.14913,1.21041,1.34265,0.0002872,0.0002872,0.0002872
38,1601.38,0.9433,0.77767,1.23429,0.90458,0.84067,0.89551,0.63153,1.14806,1.07064,1.34672,0.0002674,0.0002674,0.0002674
39,1640.41,0.91761,0.72931,1.21405,0.92506,0.80921,0.88802,0.63319,1.16763,1.06408,1.36686,0.0002476,0.0002476,0.0002476
40,1676.17,0.91611,0.74039,1.21793,0.88914,0.8433,0.89763,0.63818,1.15794,1.0213,1.32829,0.0002278,0.0002278,0.0002278
41,1735.67,0.77993,0.44224,1.14534,0.8652,0.79398,0.87164,0.62483,1.15436,1.26345,1.31149,0.000208,0.000208,0.000208
42,1771.66,0.77557,0.43186,1.12923,0.92401,0.81631,0.89946,0.64347,1.1841,1.06895,1.38246,0.0001882,0.0001882,0.0001882
43,1810.44,0.75602,0.41174,1.12375,0.89559,0.83519,0.89497,0.64198,1.19833,1.22728,1.38576,0.0001684,0.0001684,0.0001684
44,1845.13,0.74244,0.409,1.11183,0.90977,0.83181,0.90009,0.64616,1.18677,1.09828,1.38449,0.0001486,0.0001486,0.0001486
45,1878.66,0.73022,0.39049,1.10092,0.88902,0.83888,0.89946,0.6553,1.15416,1.19631,1.36253,0.0001288,0.0001288,0.0001288
46,1913.33,0.71669,0.38539,1.08473,0.89002,0.83177,0.89449,0.66349,1.13787,1.12761,1.34321,0.000109,0.000109,0.000109
47,1946.71,0.70924,0.38478,1.08879,0.92341,0.8137,0.89751,0.65612,1.14471,1.18435,1.34304,8.92e-05,8.92e-05,8.92e-05
48,1981.44,0.69195,0.37502,1.07411,0.90522,0.82008,0.8953,0.65409,1.12836,1.0906,1.30951,6.94e-05,6.94e-05,6.94e-05
49,2016.2,0.67571,0.36222,1.06484,0.90959,0.82746,0.88696,0.65375,1.13446,1.16274,1.32495,4.96e-05,4.96e-05,4.96e-05
50,2049.59,0.66276,0.35525,1.05731,0.91088,0.82311,0.89045,0.65686,1.1267,1.12513,1.3193,2.98e-05,2.98e-05,2.98e-05
