epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.5924,1.23695,1.25793,1.43847,0.80805,0.53985,0.64126,0.41051,1.37191,2.64135,1.51231,0.0670873,0.000332451,0.000332451
2,90.7604,1.26522,1.3022,1.47669,0.7873,0.73101,0.80797,0.45572,1.49482,1.47925,1.54327,0.0340741,0.000652602,0.000652602
3,127.226,1.24629,1.33767,1.47462,0.80383,0.66303,0.75773,0.48584,1.29976,1.84441,1.42908,0.00104774,0.000959553,0.000959553
4,180.169,1.28284,1.31916,1.47673,0.82311,0.70242,0.79697,0.41584,1.71921,1.71487,1.70099,0.0009406,0.0009406,0.0009406
5,220.557,1.25391,1.3116,1.45344,0.79386,0.7153,0.78425,0.47806,1.3946,1.92262,1.51001,0.0009208,0.0009208,0.0009208
6,264.573,1.26048,1.28019,1.457,0.79974,0.75906,0.80511,0.48135,1.51475,1.58964,1.56217,0.000901,0.000901,0.000901
7,314.451,1.22472,1.23278,1.43337,0.76216,0.73273,0.80759,0.49133,1.40355,1.63593,1.48988,0.0008812,0.0008812,0.0008812
8,360.434,1.22157,1.19542,1.42582,0.88793,0.74545,0.85229,0.54483,1.43254,1.33462,1.58965,0.0008614,0.0008614,0.0008614
9,396.118,1.2039,1.17904,1.4293,0.87189,0.72045,0.82144,0.49573,1.46149,1.81713,1.51822,0.0008416,0.0008416,0.0008416
10,433.188,1.20306,1.14692,1.41834,0.84192,0.74877,0.82434,0.51318,1.45187,1.87677,1.57567,0.0008218,0.0008218,0.0008218
11,469.385,1.21065,1.16129,1.41643,0.83633,0.75765,0.82227,0.5277,1.33179,1.84167,1.45915,0.000802,0.000802,0.000802
12,504.899,1.19734,1.1049,1.41241,0.89939,0.74695,0.85188,0.52886,1.42356,1.28481,1.51216,0.0007822,0.0007822,0.0007822
